"date","month","year","zoneid","tnc","subway","taxi","holidays","precip","median.age","median.earnings","scaled.population","scaled.employment","zone.name","borough"
"2015-07-01",7,2015,"ID100",13,216,78,0,0.33,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-02",7,2015,"ID100",10,213,71,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-03",7,2015,"ID100",5,134,57,1,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-04",7,2015,"ID100",5,98,51,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-05",7,2015,"ID100",6,95,66,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-06",7,2015,"ID100",9,205,75,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-07",7,2015,"ID100",12,214,80,0,0.04,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-08",7,2015,"ID100",15,218,85,0,0.21,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-09",7,2015,"ID100",15,227,83,0,0.3,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-10",7,2015,"ID100",14,218,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-11",7,2015,"ID100",10,127,71,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-12",7,2015,"ID100",10,104,67,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-13",7,2015,"ID100",13,204,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-14",7,2015,"ID100",16,214,84,0,0.5,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-15",7,2015,"ID100",18,216,84,0,0.06,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-16",7,2015,"ID100",16,217,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-17",7,2015,"ID100",14,215,66,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-18",7,2015,"ID100",12,121,65,0,0.17,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-19",7,2015,"ID100",13,104,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-20",7,2015,"ID100",16,210,88,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-21",7,2015,"ID100",16,216,80,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-22",7,2015,"ID100",16,218,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-23",7,2015,"ID100",17,225,83,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-24",7,2015,"ID100",14,212,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-07-25",7,2015,"ID100",8,120,68,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
