"year","month","zoneid","zone.name","borough","tnc.month"
2015,7,"ID11","Bath Beach","Brooklyn",1
2015,8,"ID11","Bath Beach","Brooklyn",1
2015,9,"ID11","Bath Beach","Brooklyn",1
2015,10,"ID11","Bath Beach","Brooklyn",2
2015,11,"ID11","Bath Beach","Brooklyn",2
2015,12,"ID11","Bath Beach","Brooklyn",2
2016,1,"ID11","Bath Beach","Brooklyn",2
2016,2,"ID11","Bath Beach","Brooklyn",3
2016,3,"ID11","Bath Beach","Brooklyn",3
2016,4,"ID11","Bath Beach","Brooklyn",3
2016,5,"ID11","Bath Beach","Brooklyn",4
2016,6,"ID11","Bath Beach","Brooklyn",4
2016,7,"ID11","Bath Beach","Brooklyn",4
2016,8,"ID11","Bath Beach","Brooklyn",5
2016,9,"ID11","Bath Beach","Brooklyn",5
2016,10,"ID11","Bath Beach","Brooklyn",5
2016,11,"ID11","Bath Beach","Brooklyn",6
2016,12,"ID11","Bath Beach","Brooklyn",8
2017,1,"ID11","Bath Beach","Brooklyn",7
2017,2,"ID11","Bath Beach","Brooklyn",7
2017,3,"ID11","Bath Beach","Brooklyn",10
2017,4,"ID11","Bath Beach","Brooklyn",9
2017,5,"ID11","Bath Beach","Brooklyn",10
2017,6,"ID11","Bath Beach","Brooklyn",11
2015,1,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,2,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,3,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,4,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,5,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,6,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,7,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,8,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,9,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,10,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,11,"ID111","Green-Wood Cemetery","Brooklyn",0
2015,12,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,1,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,2,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,3,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,4,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,5,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,6,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,7,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,8,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,9,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,10,"ID111","Green-Wood Cemetery","Brooklyn",1
2016,11,"ID111","Green-Wood Cemetery","Brooklyn",0
2016,12,"ID111","Green-Wood Cemetery","Brooklyn",0
2017,1,"ID111","Green-Wood Cemetery","Brooklyn",0
2017,2,"ID111","Green-Wood Cemetery","Brooklyn",0
2017,3,"ID111","Green-Wood Cemetery","Brooklyn",0
2017,4,"ID111","Green-Wood Cemetery","Brooklyn",0
2017,5,"ID111","Green-Wood Cemetery","Brooklyn",1
2017,6,"ID111","Green-Wood Cemetery","Brooklyn",1
2015,1,"ID112","Greenpoint","Brooklyn",20
2015,2,"ID112","Greenpoint","Brooklyn",20
2015,3,"ID112","Greenpoint","Brooklyn",20
2015,4,"ID112","Greenpoint","Brooklyn",24
2015,5,"ID112","Greenpoint","Brooklyn",29
2015,6,"ID112","Greenpoint","Brooklyn",29
2015,7,"ID112","Greenpoint","Brooklyn",32
2015,8,"ID112","Greenpoint","Brooklyn",39
2015,9,"ID112","Greenpoint","Brooklyn",42
2015,10,"ID112","Greenpoint","Brooklyn",50
2015,11,"ID112","Greenpoint","Brooklyn",49
2015,12,"ID112","Greenpoint","Brooklyn",51
2016,1,"ID112","Greenpoint","Brooklyn",52
2016,2,"ID112","Greenpoint","Brooklyn",56
2016,3,"ID112","Greenpoint","Brooklyn",58
2016,4,"ID112","Greenpoint","Brooklyn",64
2016,5,"ID112","Greenpoint","Brooklyn",66
2016,6,"ID112","Greenpoint","Brooklyn",68
2016,7,"ID112","Greenpoint","Brooklyn",75
2016,8,"ID112","Greenpoint","Brooklyn",74
2016,9,"ID112","Greenpoint","Brooklyn",83
2016,10,"ID112","Greenpoint","Brooklyn",91
2016,11,"ID112","Greenpoint","Brooklyn",83
2016,12,"ID112","Greenpoint","Brooklyn",95
2017,1,"ID112","Greenpoint","Brooklyn",93
2017,2,"ID112","Greenpoint","Brooklyn",91
2017,3,"ID112","Greenpoint","Brooklyn",108
2017,4,"ID112","Greenpoint","Brooklyn",106
2017,5,"ID112","Greenpoint","Brooklyn",114
2017,6,"ID112","Greenpoint","Brooklyn",124
2015,1,"ID113","Greenwich Village North","Manhattan",34
2015,2,"ID113","Greenwich Village North","Manhattan",44
2015,3,"ID113","Greenwich Village North","Manhattan",40
2015,4,"ID113","Greenwich Village North","Manhattan",42
2015,5,"ID113","Greenwich Village North","Manhattan",47
2015,6,"ID113","Greenwich Village North","Manhattan",44
2015,7,"ID113","Greenwich Village North","Manhattan",46
2015,8,"ID113","Greenwich Village North","Manhattan",51
